model,month,month_name,n,MAE,RMSE,MAPE,R2,NSE
Seasonal Climatology,6,Jun,15,21.87068103273433,30.52500981420097,5.4409701520865354,0.5695911869405476,0.5695911869405476
Random Forest,6,Jun,15,27.57360206047642,34.43065986635865,6.75352449135764,0.45240405558122665,0.45240405558122665
SVR-RBF,6,Jun,15,32.523092270417294,36.11964838444112,7.914985125253092,0.39736193673602294,0.39736193673602294
Gradient Boosting,6,Jun,15,31.007692800749243,41.061844032686984,7.483182300773904,0.22116326228756478,0.22116326228756478
Persistence t-12,6,Jun,15,31.26888618666668,45.92726907212189,7.696595806246363,0.025659454821271077,0.025659454821271077
Random Forest,7,Jul,15,29.380089305075284,37.7153109583331,5.744463556159156,0.5673015102705841,0.5673015102705841
Persistence t-12,7,Jul,15,31.60990506666666,39.46361982879219,6.606548458182861,0.5262558815332916,0.5262558815332916
SVR-RBF,7,Jul,15,34.10118340239477,41.54814511196244,7.029822940372236,0.47488639144679956,0.47488639144679956
Seasonal Climatology,7,Jul,15,30.599395246914373,44.13615446751432,6.615960447998391,0.4074309347838838,0.4074309347838838
Gradient Boosting,7,Jul,15,43.15076210361135,54.061054837165244,8.783197815842188,0.11096466072751177,0.11096466072751177
Linear Regression,7,Jul,15,51.645865312252276,62.514950782503696,9.98544305310207,-0.18882459389435113,-0.18882459389435113
SVR-RBF,8,Aug,15,26.07393534499703,29.904690027099644,5.942296778264085,0.8395330460585666,0.8395330460585666
Random Forest,8,Aug,15,33.61750038124851,37.44645265527734,7.4759270213403255,0.7483897298904197,0.7483897298904197
Seasonal Climatology,8,Aug,15,32.973998526099926,39.04026510831519,7.7564040895759465,0.7265156275906791,0.7265156275906791
Gradient Boosting,8,Aug,15,40.99852815834602,46.476203612996414,8.753063279138763,0.6124138141193606,0.6124138141193606
Persistence t-12,8,Aug,15,39.67071189333333,52.48295367824905,8.92211980140988,0.5057535761047218,0.5057535761047218
Linear Regression,8,Aug,15,43.525905699946,57.392334035780166,8.611753212292049,0.40896285969233137,0.40896285969233137
SVR-RBF,9,Sep,15,14.092019142189853,15.99910161134275,4.333105094709818,0.9031867716626464,0.9031867716626464
Seasonal Climatology,9,Sep,15,15.384992292871583,16.894242076481756,4.645044793134624,0.8920504255054247,0.8920504255054247
Persistence t-12,9,Sep,15,16.23423573333333,24.774490970867507,4.8480847313870115,0.7678583916151279,0.7678583916151279
Linear Regression,9,Sep,15,23.528433663402122,28.66102095676708,7.144574340839313,0.6893103238234437,0.6893103238234437
Random Forest,9,Sep,15,30.273796787373225,40.53930066202255,9.44059424530855,0.3784214571733261,0.3784214571733261
Gradient Boosting,9,Sep,15,33.70937890312482,47.276627533923225,10.404641449739984,0.1546501372898894,0.1546501372898894
Seasonal Climatology,10,Oct,15,11.294921130439105,15.461849458221975,4.7684250546784,0.8887364887144273,0.8887364887144273
Persistence t-12,10,Oct,15,16.491236693333327,21.449779897999683,6.920060157301442,0.7858709645878983,0.7858709645878983
SVR-RBF,10,Oct,15,23.213171177377582,31.671524453872575,9.68519294407061,0.5331602625432501,0.5331602625432501
Linear Regression,10,Oct,15,28.30781328835852,33.60716958205113,12.411710117691937,0.4743535263423241,0.4743535263423241
Random Forest,10,Oct,15,36.09892294903548,42.55026310063836,15.212101459955072,0.15737492273373754,0.15737492273373754
Gradient Boosting,10,Oct,15,39.367564074565514,47.89251423037529,16.12350053212163,-0.06749329109020197,-0.06749329109020197
Seasonal Climatology,11,Nov,15,13.603591204408888,17.33568701309707,15.361041351240075,0.0802110809005322,0.0802110809005322
Gradient Boosting,11,Nov,15,13.000800498352255,18.479308697725067,13.336669404526821,-0.04514729111028504,-0.04514729111028504
Persistence t-12,11,Nov,15,19.0616,23.259810735142853,20.746680774032292,-0.6558401597552839,-0.6558401597552839
Random Forest,11,Nov,15,17.82053465557114,27.72984220573459,18.076115936179924,-1.353427668061538,-1.353427668061538
SVR-RBF,11,Nov,15,21.33229647767602,30.264174545897603,21.643027571281365,-1.803262223056504,-1.803262223056504
Linear Regression,11,Nov,15,25.019666166947136,32.208701621347124,24.335239139697382,-2.175064079348086,-2.175064079348086
Seasonal Climatology,12,Dec,15,11.89194477037037,16.703730452745383,17.795001183912532,0.3722764187419999,0.3722764187419999
Persistence t-12,12,Dec,15,23.10066773333334,31.1014197781963,36.16902157101698,-1.176215641297206,-1.176215641297206
SVR-RBF,12,Dec,15,21.95239020880119,31.46176727713801,30.034754454111095,-1.2269359483110502,-1.2269359483110502
Random Forest,12,Dec,15,21.87051243518528,32.65720038268743,31.19556067944137,-1.399382016809862,-1.399382016809862
Gradient Boosting,12,Dec,15,21.92868432885455,32.77820298332707,30.916857545603538,-1.4171955056392163,-1.4171955056392163
Linear Regression,12,Dec,15,30.04802053358575,34.25938254413962,48.664429942694696,-1.6405874828086646,-1.6405874828086646
