mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__epsilon,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.012485980987548828,0.00224566038834805,0.004434049129486084,0.00012765632680185635,1,0.1,auto,"{'model__C': 1, 'model__epsilon': 0.1, 'model__gamma': 'auto'}",-125.00090923019849,-105.12329873314111,-124.03100435889915,-91.25510178898354,-111.35257852780558,14.051084571520892,60
0.013109147548675537,0.0022150194743893042,0.0046776533126831055,0.00010367624441944425,1,0.2,scale,"{'model__C': 1, 'model__epsilon': 0.2, 'model__gamma': 'scale'}",-127.23963414754733,-107.30946701590064,-125.92493238123242,-92.4743472961823,-113.23709521021568,14.346434972855272,61
0.012880504131317139,0.002412468522441368,0.004631757736206055,0.0001502117465152319,1,0.1,scale,"{'model__C': 1, 'model__epsilon': 0.1, 'model__gamma': 'scale'}",-127.23963414754733,-107.30712790468424,-125.93572792916206,-92.47538051328688,-113.23946762367014,14.348690327954529,62
0.014305412769317627,0.0017093745161677954,0.005313098430633545,0.0006820316817928197,1,0.05,scale,"{'model__C': 1, 'model__epsilon': 0.05, 'model__gamma': 'scale'}",-127.23963414754733,-107.30597254603269,-125.9425199194765,-92.47767544377244,-113.24145051420724,14.349482246378024,63
0.017547607421875,0.0037370871678436206,0.006689727306365967,0.0006323070044157704,1,0.01,scale,"{'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 'scale'}",-127.23963414754733,-107.30507691224227,-125.94795543902455,-92.47974138443684,-113.24310197081275,14.350030479577212,64
0.014757752418518066,0.0029177017226332492,0.005482614040374756,0.0005693096794723607,1,0.2,0.1,"{'model__C': 1, 'model__epsilon': 0.2, 'model__gamma': 0.1}",-128.8556372388311,-108.5187579268416,-126.85713454482148,-93.21955539008611,-114.36277127514506,14.554555535410264,65
0.013469398021697998,0.0024917232031607195,0.005154907703399658,0.0007278705705114154,1,0.1,0.1,"{'model__C': 1, 'model__epsilon': 0.1, 'model__gamma': 0.1}",-128.8556372388311,-108.53271873208861,-126.88213915450328,-93.22442001135265,-114.3737287841939,14.556756699882794,66
0.01457512378692627,0.001648124181690789,0.005225419998168945,0.0002086754442448875,1,0.05,0.1,"{'model__C': 1, 'model__epsilon': 0.05, 'model__gamma': 0.1}",-128.8556372388311,-108.53496238997415,-126.89074245739677,-93.23067299237384,-114.37800376964397,14.556108957272226,67
0.014964163303375244,0.0018780744458843897,0.005654692649841309,0.00036057247427246893,1,0.01,0.1,"{'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 0.1}",-128.8556372388311,-108.52983674995745,-126.89762710342798,-93.23567897227417,-114.37969501612267,14.556285439410054,68
0.013120055198669434,0.0027985046965820636,0.004554569721221924,0.00020005040604743104,10,0.1,0.001,"{'model__C': 10, 'model__epsilon': 0.1, 'model__gamma': 0.001}",-138.20689674247978,-116.96472765147153,-135.48763648780815,-105.47345415410025,-124.03317875896492,13.47706627762059,69
0.013957858085632324,0.002838070666374606,0.0049315690994262695,0.00034268681667211755,10,0.2,0.001,"{'model__C': 10, 'model__epsilon': 0.2, 'model__gamma': 0.001}",-138.20689674247978,-117.02153364907757,-135.48763648780815,-105.43319094059727,-124.03731445499069,13.483522619410095,70
0.013371646404266357,0.0028845275698295147,0.0045593976974487305,0.00024210843230414148,10,0.05,0.001,"{'model__C': 10, 'model__epsilon': 0.05, 'model__gamma': 0.001}",-138.20689674247978,-116.96205093693453,-135.48763648780815,-105.49429723751993,-124.03772035118561,13.470242922600692,71
0.013239443302154541,0.0023810282205221902,0.00466233491897583,0.0001921006843232197,10,0.01,0.001,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 0.001}",-138.20689674247978,-116.96205093693453,-135.48763648780815,-105.51097731697556,-124.0418903710495,13.464503097983728,72
0.015039145946502686,0.0028457410112030625,0.005545258522033691,0.00045529136566547905,1,0.01,0.01,"{'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 0.01}",-144.26513648432146,-124.9936433724714,-141.57073213599614,-113.57544162272482,-131.10123840387845,12.523525677311337,73
0.01331871747970581,0.002325903060447355,0.0049408674240112305,0.00021020546226870998,1,0.05,0.01,"{'model__C': 1, 'model__epsilon': 0.05, 'model__gamma': 0.01}",-144.26513648432146,-124.9936433724714,-141.58488193153894,-113.57544162272482,-131.10477585276416,12.526484084881254,74
